Event,Time
RightMoveEnd,2350
RightMoveEnd,2361
JumpEnd,2363
LeftMoveStart,2408
RightMoveEnd,2417
JumpStart,2425
FireStateStart,2431
JumpEnd,2431
JumpStart,2437
JumpEnd,2443
RightMoveStart,2444
JumpStart,2449
JumpEnd,2455
JumpStart,2465
JumpEnd,2471
RightMoveStart,2472
DeathByGap,2476
RightMoveEnd,2478
JumpStart,2482
JumpEnd,2491
RunStateEnd,2492
RunStateStart,2503
RunStateEnd,2513
RunStateStart,2527
RightMoveEnd,2539
RightMoveStart,2542
JumpStart,2544
RightMoveEnd,2558
JumpEnd,2560
JumpStart,2571
RightMoveStart,2579
JumpEnd,2580
JumpStart,2602
JumpEnd,2615
LeftMoveStart,2617
JumpStart,2632
RightMoveStart,2639
RightMoveEnd,2641
RightMoveEnd,2648
JumpEnd,2663
RightMoveStart,2664
JumpStart,2673
RightMoveStart,2677
RightMoveStart,2681
JumpEnd,2683
LeftMoveStart,2693
RightMoveEnd,2693
JumpStart,2695
RightMoveEnd,2696
RightMoveEnd,2697
RightMoveEnd,2708
JumpEnd,2711
LeftMoveStart,2713
JumpStart,2739
RightMoveStart,2743
LeftMoveEnd,2762
JumpEnd,2769
LeftMoveEnd,2769
RightMoveStart,2772
LeftMoveEnd,2774
JumpStart,2780
JumpEnd,2790
JumpStart,2803
RightMoveStart,2810
JumpEnd,2814
RightMoveEnd,2814
LeftMoveStart,2818
RightMoveEnd,2818
JumpStart,2839
RightMoveStart,2842
LeftMoveEnd,2847
RightMoveEnd,2851
RightMoveStart,2866
JumpEnd,2870
JumpStart,2877
RightMoveEnd,2889
JumpEnd,2893
JumpStart,2896
JumpEnd,2912
JumpStart,2917
RightMoveStart,2925
JumpEnd,2927
JumpStart,2945
LeftMoveEnd,2946
RightMoveEnd,2946
JumpEnd,2953
RunStateEnd,2960
RunStateStart,2970
JumpStart,2973
RightMoveStart,2981
JumpEnd,2983
JumpStart,3000
RightMoveStart,3005
JumpEnd,3012
RunStateEnd,3012
RightMoveEnd,3038
RunStateStart,3043
RunStateEnd,3047
RunStateStart,3051
RunStateEnd,3054
RightMoveEnd,3056
RunStateStart,3056
RunStateEnd,3059
RunStateStart,3066
JumpStart,3067
RightMoveStart,3075
RunStateEnd,3076
JumpEnd,3077
RightMoveEnd,3086
RunStateStart,3087
LeftMoveStart,3099
RightMoveStart,3108
JumpStart,3112
JumpEnd,3132
RightMoveEnd,3159
LeftMoveStart,3166
JumpStart,3173
JumpEnd,3183
RightMoveStart,3193
JumpStart,3195
RightMoveEnd,3198
JumpEnd,3209
JumpStart,3213
JumpEnd,3226
JumpStart,3230
RightMoveStart,3235
LeftMoveEnd,3241
JumpEnd,3242
JumpStart,3245
RightMoveStart,3255
JumpEnd,3256
JumpStart,3261
JumpEnd,3282
RightMoveEnd,3284
JumpStart,3288
RunStateEnd,3295
JumpEnd,3301
RightMoveStart,3301
RightMoveStart,3303
JumpStart,3305
RightMoveStart,3305
RunStateStart,3305
RightMoveEnd,3306
RightMoveEnd,3308
RightMoveEnd,3308
RightMoveStart,3310
RunStateEnd,3312
RightMoveEnd,3313
RunStateStart,3315
JumpEnd,3317
RunStateEnd,3319
JumpStart,3336
JumpEnd,3346
RightMoveEnd,3348
RightMoveEnd,3350
JumpStart,3352
RightMoveStart,3355
JumpEnd,3362
LeftMoveEnd,3388
RightMoveStart,3399
LeftMoveStart,3409
JumpStart,3417
LeftMoveStart,3420
RightMoveStart,3431
JumpEnd,3438
LeftMoveEnd,3441
LeftMoveStart,3443
RightMoveEnd,3443
RightMoveEnd,3452
RightMoveStart,3453
LeftMoveStart,3468
RightMoveEnd,3474
LeftMoveEnd,3475
JumpStart,3484
JumpEnd,3488
RightMoveEnd,3489
LeftMoveEnd,3501
LeftMoveEnd,3660
RunStateStart,3678
RightMoveStart,3825
FireStateEnd,3836
RunStateEnd,3836
RightMoveEnd,3860
WonLevel,5825
